127.0.0.1 - - [23/Apr/2023:14:46:27 +0900] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:46:27 +0900] "GET /blueproject/LoginForm.jsp HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:46:27 +0900] "GET /blueproject/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:46:27 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:46:30 +0900] "POST /blueproject/Login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:46:30 +0900] "GET /blueproject/LoginForm.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:46:30 +0900] "GET /blueproject/Board/Enterance.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:46:31 +0900] "GET /blueproject/Board/Enterance.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:47:56 +0900] "GET /blueproject/LoginForm.jsp HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:47:56 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:47:59 +0900] "POST /blueproject/Login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:47:59 +0900] "GET /blueproject/LoginForm.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:47:59 +0900] "GET /project/MainPage.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:48:10 +0900] "GET /blueproject/LoginForm.jsp HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:48:10 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:48:12 +0900] "POST /blueproject/Login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:48:12 +0900] "GET /blueproject/LoginForm.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:48:12 +0900] "GET /Project/MainPage.jsp HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:48:12 +0900] "GET /Project/Layout.css HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:48:12 +0900] "GET /Project/sun.jpg HTTP/1.1" 200 6748
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:48:12 +0900] "GET /midproject/fullcalendar/index_google.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:48:12 +0900] "GET /font/Jua-Regular.ttf HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:06 +0900] "GET /blueproject/LoginForm.jsp HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:06 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:10 +0900] "POST /blueproject/Login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:10 +0900] "GET /blueproject/LoginForm.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:10 +0900] "GET /Project/MainPage.jsp HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:10 +0900] "GET /Project/Layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:10 +0900] "GET /Project/sun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:10 +0900] "GET /midproject/fullcalendar/index_google.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:10 +0900] "GET /font/Jua-Regular.ttf HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:15 +0900] "GET /Project/Notice.jsp HTTP/1.1" 200 3603
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:49:15 +0900] "GET /font/Jua-Regular.ttf HTTP/1.1" 404 -
